tb_arst - 1 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  0
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  0
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  9
tb_arst - 0 | tb_mode - 1 | tb_load - 1 | tb_value -  5 | tb_count -  8
tb_arst - 0 | tb_mode - 1 | tb_load - 1 | tb_value -  5 | tb_count -  5
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  5
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  4
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  3
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  2
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  1
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  0
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  9
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  8
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  7
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  6
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  5
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  4
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  3
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  2
tb_arst - 0 | tb_mode - 0 | tb_load - 0 | tb_value -  5 | tb_count -  1
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  0
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  1
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  2
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  3
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  4
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  5
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  6
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  7
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  8
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  9
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count - 10
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  0
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  1
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  2
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  3
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  4
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  5
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  6
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  7
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  8
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  9
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count - 10
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  0
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  1
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  2
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  3
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  4
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  5
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  6
tb_arst - 0 | tb_mode - 1 | tb_load - 0 | tb_value -  5 | tb_count -  7
