Time-                    0 | tb_rst - 1 | tb_in - 0 | tb_out - 0
Time-                   10 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                   35 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                   45 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                   55 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                   65 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                   75 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                   85 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                   95 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  105 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  115 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  125 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  135 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  175 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  185 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  195 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  205 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  215 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  245 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  255 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  265 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  275 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  315 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  345 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  365 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  385 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  395 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  405 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  415 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  455 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  465 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  475 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  485 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  495 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  505 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  515 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  525 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  545 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  555 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  575 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  615 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  625 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  635 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  645 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  655 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  665 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  675 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  685 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  705 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  715 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  745 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  755 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  815 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  825 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  845 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  865 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  875 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  885 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  905 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  915 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  925 | tb_rst - 0 | tb_in - 1 | tb_out - 1
Time-                  935 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  955 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  975 | tb_rst - 0 | tb_in - 1 | tb_out - 0
Time-                  985 | tb_rst - 0 | tb_in - 0 | tb_out - 0
Time-                  995 | tb_rst - 0 | tb_in - 1 | tb_out - 1
