Time -                    0 | tb_arst - 1 | tb_clk - 0 | tb_seq_i -0 |tb_count -  x
Time -                    2 | tb_arst - 1 | tb_clk - 1 | tb_seq_i -0 |tb_count -  0
Time -                    4 | tb_arst - 1 | tb_clk - 0 | tb_seq_i -0 |tb_count -  0
Time -                    6 | tb_arst - 1 | tb_clk - 1 | tb_seq_i -0 |tb_count -  0
Time -                    8 | tb_arst - 1 | tb_clk - 0 | tb_seq_i -0 |tb_count -  0
Time -                   10 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  0
Time -                   12 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  0
Time -                   14 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  0
Time -                   16 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  0
Time -                   18 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  0
Time -                   20 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  0
Time -                   22 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  0
Time -                   24 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  0
Time -                   26 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  0
Time -                   28 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  0
Time -                   30 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  0
Time -                   32 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  0
Time -                   34 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  0
Time -                   36 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  0
Time -                   38 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  0
Time -                   40 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  0
Time -                   42 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  0
Time -                   44 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  0
Time -                   46 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  0
Time -                   48 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  0
Time -                   50 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  0
Time -                   52 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  0
Time -                   54 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  1
Time -                   56 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  1
Time -                   58 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  1
Time -                   60 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  1
Time -                   62 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  1
Time -                   64 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  1
Time -                   66 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  1
Time -                   68 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  1
Time -                   70 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  1
Time -                   72 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  1
Time -                   74 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  1
Time -                   76 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  1
Time -                   78 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  1
Time -                   80 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  1
